time_step,sector_id,row,col,x,y,true_status,label,treatment_timer,wind_speed,wind_direction,humidity,season_multiplier,neighbors
0,49,4,9,9.0,4.0,0,healthy,0,5.75,43.62,61.94,0.8,"38,39,48,58,59"
0,50,5,0,0.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"40,41,51,60,61"
0,51,5,1,1.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"40,41,42,50,52,60,61,62"
0,52,5,2,2.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"41,42,43,51,53,61,62,63"
0,53,5,3,3.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"42,43,44,52,54,62,63,64"
0,54,5,4,4.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"43,44,45,53,55,63,64,65"
0,55,5,5,5.0,5.0,1,infected,7,5.75,43.62,61.94,0.8,"44,45,46,54,56,64,65,66"
0,56,5,6,6.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"45,46,47,55,57,65,66,67"
0,57,5,7,7.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"46,47,48,56,58,66,67,68"
0,58,5,8,8.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"47,48,49,57,59,67,68,69"
0,59,5,9,9.0,5.0,0,healthy,0,5.75,43.62,61.94,0.8,"48,49,58,68,69"
0,60,6,0,0.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"50,51,61,70,71"
0,61,6,1,1.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"50,51,52,60,62,70,71,72"
0,62,6,2,2.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"51,52,53,61,63,71,72,73"
0,63,6,3,3.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"52,53,54,62,64,72,73,74"
0,64,6,4,4.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"53,54,55,63,65,73,74,75"
0,65,6,5,5.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"54,55,56,64,66,74,75,76"
0,66,6,6,6.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"55,56,57,65,67,75,76,77"
0,67,6,7,7.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"56,57,58,66,68,76,77,78"
0,68,6,8,8.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"57,58,59,67,69,77,78,79"
0,69,6,9,9.0,6.0,0,healthy,0,5.75,43.62,61.94,0.8,"58,59,68,78,79"
0,70,7,0,0.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"60,61,71,80,81"
0,71,7,1,1.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"60,61,62,70,72,80,81,82"
0,72,7,2,2.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"61,62,63,71,73,81,82,83"
0,73,7,3,3.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"62,63,64,72,74,82,83,84"
0,74,7,4,4.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"63,64,65,73,75,83,84,85"
0,75,7,5,5.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"64,65,66,74,76,84,85,86"
0,76,7,6,6.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"65,66,67,75,77,85,86,87"
0,77,7,7,7.0,7.0,1,infected,7,5.75,43.62,61.94,0.8,"66,67,68,76,78,86,87,88"
0,78,7,8,8.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"67,68,69,77,79,87,88,89"
0,79,7,9,9.0,7.0,0,healthy,0,5.75,43.62,61.94,0.8,"68,69,78,88,89"
0,80,8,0,0.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"70,71,81,90,91"
0,81,8,1,1.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"70,71,72,80,82,90,91,92"
0,82,8,2,2.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"71,72,73,81,83,91,92,93"
0,83,8,3,3.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"72,73,74,82,84,92,93,94"
0,84,8,4,4.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"73,74,75,83,85,93,94,95"
0,85,8,5,5.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"74,75,76,84,86,94,95,96"
0,86,8,6,6.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"75,76,77,85,87,95,96,97"
0,87,8,7,7.0,8.0,0,healthy,0,5.75,43.62,61.94,0.8,"76,77,78,86,88,96,97,98"
